Hugo_Symbol	GENE_IN_ONCOKB	Is.in.cancerGeneList.AsAliases	New.Hugo.Symbol
PARK2	True	TRUE	PRKN
MRE11A	True	TRUE	MRE11
HIST1H3C	True	TRUE	H3C3
HIST3H3	True	TRUE	H3-4
H3F3C	True	TRUE	H3-5
FAM175A	True	TRUE	ABRAXAS1
HIST1H3A	True	TRUE	H3C1
HIST1H3E	True	TRUE	H3C6
HIST1H3G	True	TRUE	H3C8
WHSC1L1	True	TRUE	NSD3
RFWD2	True	TRUE	COP1
PAK7	True	TRUE	PAK5
HIST1H3B	True	TRUE	H3C2
HIST1H3F	True	TRUE	H3C7
H3F3B	True	TRUE	H3-3B
SETD8	True	TRUE	KMT5A
HIST1H3D	True	TRUE	H3C4
HIST1H1C	True	TRUE	H1-2
WHSC1	True	TRUE	NSD2
FAM46C	True	TRUE	TENT5C
FAM58A	True	TRUE	CCNQ
HIST1H3H	True	TRUE	H3C10
HIST1H2BD	True	TRUE	H2BC5
H3F3A	True	TRUE	H3-3A
HIST1H3J	True	TRUE	H3C12
HIST1H3I	True	TRUE	H3C11
TCEB1	True	TRUE	ELOC
HIST2H3D	True	TRUE	H3C13
MLL3	True	TRUE	KMT2C
MLL2	True	TRUE	KMT2D
MYCL1	True	TRUE	MYCL
MLL	True	TRUE	KMT2A
MLL4	True	TRUE	KMT2B
